instance	true	probability
42114055073	0	-1.04
42093957009	0	-1.76
42127931360	0	-1.26
42132254940	0	-1.38
42129202962	0	-1.2
42106582255	0	-1.36
42116126948	0	-1.68
42102965316	0	-1.32
42092212908	0	-1.68
42123955222	0	-1.3
42096880264	0	-1.88
42107211440	0	-1.5
42095377930	0	-1.78
42128045642	0	-1.22
42096798347	0	-1.58
42122532903	0	-1.62
42099858365	0	-1.38
42127812808	0	-1.5
42122908387	0	-1.72
42125429344	0	-1.36
42112116783	0	-1.5
42118798110	0	-1.5
42104793774	0	-2.16
42117705900	0	-1.54
42098646037	0	-1.72
42093798195	0	-1.68
42097854958	0	-0.9
42114819689	0	-1.28
42112048038	0	-1.44
42095760394	1	-1.98
42119480137	0	-1.98
42121616187	0	-1.22
42105669733	0	-1.28
42091147973	0	-1.56
42118392581	0	-1.3
42106816193	0	-1.12
42100314646	0	-1.46
42128248564	0	-1.52
42125671277	0	-1.7
42099006665	0	-1.34
42113428121	0	-1.8
42133482272	0	-0.98
42097880017	0	-1.76
42127930201	0	-1.36
42100017615	0	-1.52
42094120556	0	-1.48
42087932875	0	-2.16
42115482095	0	-1.36
42111968271	0	-1.42
42112103791	0	-1.28
42088942923	0	-1.72
42118925836	0	-1.14
42087737049	1	-1.32
42098189973	0	-1.48
42093435102	0	-1.54
42131505980	0	-1.42
42124723146	0	-1.5
42098533407	0	-1.58
42102301104	0	-1.46
42087489093	0	-1.7
42122360592	0	-1.26
42127137906	0	-1.48
42095588626	0	-2.36
42097457361	0	-1.52
42120026567	0	-1.3
42122193964	0	-1.84
42132688109	1	-1.34
42120788662	0	-1.84
42129838214	0	-2.24
42111615463	0	-1.24
42093801681	0	-1.32
42106530230	0	-1.32
42126690855	0	-1.06
42133980228	0	-1.58
42115325568	0	-1.54
42115399353	0	-1.62
42091495465	0	-1.5
42093912892	0	-2.98
42097875037	0	-1.54
42092068233	0	-1.34
42108629483	0	-1.54
42117240409	0	-3.54
42120845369	0	-1.34
42116137548	0	-1.4
42112435337	0	-1.56
42095267956	0	-1.52
42103203163	0	-1.34
42114837267	0	-1.86
42108406957	0	-1.88
42107567963	0	-1.56
42106535024	0	-1.8
42126690928	1	-1.46
42097642622	0	-1.48
42092385291	0	-1.5
42112750557	0	-1.56
42125591699	0	-1.48
42125652417	0	-1.32
42114636121	0	-1.42
42117875463	0	-1.04
42129152450	0	-1.14
42100178489	0	-1.14
42095382071	0	-1.38
42097588140	0	-1.48
42103248484	0	-1.42
42132597786	0	-1.9
42132638246	0	-1.74
42114116067	0	-1.52
42098245786	0	-1.36
42089257221	0	-0.72
42133874615	0	-1.18
42093112230	0	-1.68
42127283258	0	-1.24
42130454943	0	-1.44
42098509470	0	-1.42
42120103888	0	-1.94
42103108580	0	-1.32
42127311586	0	-1.32
42091922301	0	-1.56
42129151586	0	-1.4
42122311221	0	-1.32
42103956226	0	-1.1
42129505298	0	-1.44
42101906324	0	-1.28
42098541392	0	-1.1
42122141737	0	-1.4
42090289440	0	-1.68
42130453869	0	-1.2
42115835721	0	-1.26
42116754037	0	-1.18
42112534565	0	-1.84
42098421075	0	-1.62
42092101996	0	-1.66
42132008219	0	-1.04
42113495479	1	-1.34
42096459751	0	-1.4
42098850909	0	-1.22
42102193803	0	-1.2
42124388474	0	-1.3
42100020045	0	-1.66
42131343845	0	-1.64
42096022656	0	-1.06
42101179385	0	-1.7
42132717109	0	-2.02
42093821935	0	-1.4
42117676861	0	-1.42
42102460807	0	-1.4
42133498850	1	-1.3
42134590353	0	-1.84
42116952665	0	-1.78
42118942761	0	-1.38
42133561088	0	-1.38
42089915450	0	-1.32
42735674829	0	-1.04
42743582647	0	-1.46
42750400795	0	-1.58
42726300817	0	-1.64
42725699280	0	-1.42
42738444024	0	-1.72
42733602569	0	-1.4
42745289838	0	-1.42
42740762084	0	-1.32
42739657473	0	-1.76
42751361780	0	-1.78
42733039935	0	-1.94
42747152168	0	-1.44
42757067236	0	-1.46
42770833603	0	-1.56
42755116256	0	-1.64
42746442635	0	-1.82
42747891015	0	-1.3
42737846582	0	-1.54
42736053075	0	-1.68
42737385477	0	-1.58
42755417536	0	-2.1
42739686303	0	-1.72
42752758459	0	-2.26
42723683720	0	-2.02
42753473939	0	-1.72
42748096584	0	-2.34
42749857829	0	-1.38
42757146244	0	-1.8
42767799259	0	-1.64
42734079293	0	-1.84
42769563340	0	-1.54
42745132417	0	-1.86
42766588628	0	-1.72
42745175789	0	-1.94
42735543637	0	-1.64
42755492882	0	-1.74
42748461309	0	-1.56
42762866171	0	-1.58
42771674596	0	-0.96
42766262954	0	-1.52
42737344969	0	-0.9
42743899803	0	-1.72
42744630045	0	-1.32
42733587002	0	-1.38
42759322290	1	-1.56
42755518943	0	-1.78
42750078353	0	-1.98
42731301363	0	-1.74
42771652719	0	-1.86
42752286350	0	-1.32
42766737691	0	-1.86
42753633529	0	-0.96
42728278239	0	-1.98
42729857240	0	-1.56
42726202695	0	-1.48
42738187328	0	-1.72
42766963975	0	-1.64
42768260394	0	-1.56
42750289834	0	-1.62
42726024944	0	-1.34
42753325188	0	-1.42
42747443728	0	-1.4
42732139792	1	-0.66
42749632473	0	-1.08
42737041673	0	-1.5
42751652237	0	-1.46
42753356271	0	-1.18
42729058894	0	-1.8
42748740827	0	-1.46
42772573620	0	-1.5
42731009587	0	-1.96
42766574140	0	-1.68
42742689190	0	-1.62
42760550235	0	-1.36
42734009812	0	-1.48
42739452132	0	-1.46
42739085721	0	-1.28
42741263417	0	-2.22
42737438832	0	-1.66
42747853206	0	-1.68
42767887996	0	-1.46
42756575437	0	-1.52
42730767340	0	-1.64
42744948656	0	-2.02
42730403225	0	-1.98
42743274566	0	-1.46
42737908598	0	-2.1
42761363929	0	-1.84
42735087456	0	-1.54
42753640470	0	-1.72
42751253270	0	-0.86
42763184751	0	-1.64
42752464573	0	-1.42
42765365899	0	-1.76
42752047511	0	-1.5
42765091716	0	-1.62
42768253206	0	-1.8
42771341662	0	-1.54
42725471097	0	-1.58
42761840844	0	-1.68
42744936601	0	-1.58
42753197785	0	-1.44
42768074292	0	-1.7
42727548062	0	-1.56
42735862747	0	-1.34
42758573039	0	-1.7
42735121304	1	-1.48
42735311644	0	-1.5
42763776426	0	-1.86
42732130983	0	-1.58
42770058863	0	-1.26
42747156524	0	-1.46
42749044486	0	-1.96
42742215854	0	-1.1
42769119833	1	-0.52
42736880127	1	-1.84
42752897997	0	-1.8
42732254247	0	-1.32
42743351276	0	-1.96
42769184913	1	-0.94
42744114680	1	-1.64
42753600113	1	-1.36
42729563191	0	-1.48
42769393670	0	-1.84
42758448676	0	-1.72
42736942062	0	-1.48
42761699710	0	-1.28
